# run_name: boltzman_random_start_goal_no_depth_200
# timestamp: 20260810_234233
# ---- config ----
# goal_position: (20, 0, -3)
# start_position: (0, 0, -3)
# max_episode_steps: 150
# dt: 0.5
# speed: 2.0
# state_dim: 15
# action_dim: 27
# lr: 0.0001
# gamma: 0.99
# buffer_capacity: 1000000
# batch_size: 32
# temp_start: 1.0
# temp_end: 0.05
# temp_decay_steps: 24000
# temp_schedule: linear
# target_update_freq: 250
# use_double: True
# use_dueling: True
# ----------------
episode,reward,avg10,success_rate10,steps,epsilon,elapsed_min,temperature,is_success,is_crash,is_out_of_bounds,is_timeout
1,-6.1166,-6.1166,0.0,150,,0.48,0.9941,False,False,False,True
2,-7.1793,-6.648,0.0,150,,0.92,0.9881,False,False,False,True
3,-7.3283,-6.8748,0.0,150,,1.35,0.9822,False,False,False,True
4,-6.6974,-6.8304,0.0,150,,1.79,0.9762,False,False,False,True
5,-1.4519,-5.7547,0.0,150,,2.22,0.9703,False,False,False,True
6,-2.3025,-5.1793,0.0,101,,2.52,0.9663,False,False,True,False
7,7.4758,-3.3715,0.0,150,,2.96,0.9604,False,False,False,True
8,2.0513,-2.6936,0.0,146,,3.38,0.9546,False,False,True,False
9,4.2536,-1.9217,0.0,21,,3.45,0.9538,False,False,True,False
10,0.7778,-1.6517,0.0,150,,3.88,0.9478,False,False,False,True
11,9.7782,-0.0623,10.0,96,,4.17,0.944,True,False,False,False
12,7.0056,1.3562,10.0,150,,4.6,0.9381,False,False,False,True
13,4.469,2.536,10.0,150,,5.04,0.9322,False,False,False,True
14,0.4425,3.2499,10.0,150,,5.48,0.9262,False,False,False,True
15,10.0691,4.402,20.0,91,,5.75,0.9226,True,False,False,False
16,-3.9799,4.2343,20.0,150,,6.19,0.9167,False,False,False,True
17,3.2697,3.8137,20.0,150,,6.62,0.9107,False,False,False,True
18,1.8672,3.7953,20.0,63,,6.81,0.9082,False,False,True,False
19,8.4939,4.2193,20.0,68,,7.01,0.9056,False,False,True,False
20,11.1259,5.2541,30.0,72,,7.22,0.9027,True,False,False,False
# [23:50:24] [greedy-eval @ episode 20] success_rate=80.0% over 5 episodes
21,1.5106,4.4274,20.0,150,,8.25,0.8968,False,False,False,True
22,-0.9885,3.6279,20.0,150,,8.69,0.8908,False,False,False,True
23,11.2727,4.3083,30.0,97,,8.98,0.887,True,False,False,False
24,2.0486,4.4689,30.0,150,,9.41,0.8811,False,False,False,True
25,11.7903,4.641,30.0,85,,9.67,0.8777,True,False,False,False
26,3.5007,5.3891,30.0,150,,10.11,0.8718,False,False,False,True
27,6.5666,5.7188,40.0,140,,10.52,0.8662,True,False,False,False
28,1.8127,5.7133,40.0,34,,10.62,0.8649,False,False,True,False
29,4.9456,5.3585,40.0,150,,11.06,0.8589,False,False,False,True
30,2.3911,4.485,30.0,150,,11.5,0.853,False,False,False,True
31,1.0722,4.4412,30.0,150,,11.93,0.847,False,False,False,True
32,10.171,5.5571,40.0,87,,12.19,0.8436,True,False,False,False
33,1.7484,4.6047,30.0,15,,12.24,0.843,False,False,True,False
34,6.3427,5.0341,30.0,97,,12.52,0.8392,False,False,True,False
35,11.1183,4.9669,30.0,82,,12.77,0.8359,True,False,False,False
36,5.0086,5.1177,30.0,150,,13.2,0.83,False,False,False,True
37,0.1695,4.478,20.0,16,,13.25,0.8294,False,False,True,False
38,1.3582,4.4326,20.0,10,,13.29,0.829,False,False,True,False
39,9.4805,4.886,30.0,77,,13.52,0.8259,True,False,False,False
40,10.0114,5.6481,40.0,117,,13.86,0.8213,True,False,False,False
# [23:56:52] [greedy-eval @ episode 40] success_rate=100.0% over 5 episodes
41,-0.4723,5.4936,40.0,7,,14.31,0.821,False,False,True,False
42,2.4349,4.72,30.0,32,,14.4,0.8197,False,False,True,False
43,6.6217,5.2073,30.0,62,,14.59,0.8173,False,False,True,False
44,4.3406,5.0071,30.0,150,,15.03,0.8113,False,False,False,True
45,2.6826,4.1636,20.0,38,,15.14,0.8098,False,False,True,False
46,4.0461,4.0673,20.0,150,,15.58,0.8039,False,False,False,True
47,10.8793,5.1383,30.0,108,,15.9,0.7996,True,False,False,False
48,1.5656,5.159,30.0,150,,16.33,0.7937,False,False,False,True
49,6.6843,4.8794,20.0,121,,16.69,0.7889,False,False,True,False
50,4.9162,4.3699,10.0,46,,16.83,0.7871,False,False,True,False
51,4.7275,4.8899,10.0,34,,16.93,0.7857,False,False,True,False
52,-0.0947,4.6369,10.0,150,,17.37,0.7798,False,False,False,True
53,6.2506,4.5998,10.0,150,,17.81,0.7739,False,False,False,True
54,1.0537,4.2711,10.0,16,,17.86,0.7732,False,False,True,False
55,4.9805,4.5009,10.0,57,,18.03,0.771,False,False,True,False
56,2.7224,4.3686,10.0,14,,18.08,0.7704,False,False,True,False
57,3.4813,3.6288,0.0,32,,18.18,0.7692,False,False,True,False
58,9.4261,4.4148,10.0,125,,18.54,0.7642,True,False,False,False
59,1.5602,3.9024,10.0,150,,18.98,0.7583,False,False,False,True
60,3.9752,3.8083,10.0,150,,19.42,0.7523,False,False,False,True
# [00:02:37] [greedy-eval @ episode 60] success_rate=100.0% over 5 episodes
61,5.5923,3.8948,10.0,150,,20.47,0.7464,False,False,False,True
62,0.559,3.9601,10.0,150,,20.91,0.7405,False,False,False,True
63,-8.5729,2.4778,10.0,12,,20.95,0.74,False,True,True,False
64,4.0047,2.7729,10.0,150,,21.39,0.734,False,False,False,True
65,9.003,3.1751,10.0,38,,21.5,0.7325,False,False,True,False
66,12.6238,4.1653,10.0,52,,21.66,0.7305,False,False,True,False
67,4.7919,4.2963,10.0,54,,21.82,0.7283,False,False,True,False
68,-3.8767,2.9661,0.0,150,,22.25,0.7224,False,False,False,True
69,6.6639,3.4764,0.0,150,,22.7,0.7165,False,False,False,True
70,2.4797,3.3269,0.0,150,,23.14,0.7105,False,False,False,True
71,11.7972,3.9474,10.0,97,,23.42,0.7067,True,False,False,False
72,6.0404,4.4955,10.0,150,,23.86,0.7007,False,False,False,True
73,5.0224,5.855,10.0,150,,24.3,0.6948,False,False,False,True
74,-0.4673,5.4078,10.0,150,,24.74,0.6889,False,False,False,True
75,8.6007,5.3676,20.0,117,,25.09,0.6842,True,False,False,False
76,2.7026,4.3755,20.0,150,,25.53,0.6783,False,False,False,True
77,2.0518,4.1015,20.0,70,,25.73,0.6755,False,False,True,False
78,5.5675,5.0459,20.0,150,,26.17,0.6696,False,False,False,True
79,6.3387,5.0134,20.0,81,,26.41,0.6664,False,False,True,False
80,0.8233,4.8477,20.0,150,,26.86,0.6605,False,False,False,True
# [00:09:56] [greedy-eval @ episode 80] success_rate=100.0% over 5 episodes
81,8.211,4.4891,20.0,107,,27.66,0.6562,True,False,False,False
82,2.1493,4.1,20.0,22,,27.73,0.6553,False,False,True,False
83,-0.2227,3.5755,20.0,12,,27.77,0.6549,False,False,True,False
84,10.0944,4.6317,30.0,116,,28.11,0.6503,True,False,False,False
85,7.4673,4.5183,30.0,110,,28.43,0.6459,True,False,False,False
86,-9.9152,3.2565,30.0,150,,29.24,0.64,False,False,False,True
87,-12.3491,1.8164,30.0,150,,30.08,0.6341,False,False,False,True
88,-2.4971,1.01,30.0,30,,30.26,0.6329,False,False,True,False
89,-8.8829,-0.5122,30.0,108,,30.87,0.6286,False,False,True,False
90,-11.4099,-1.7355,30.0,150,,31.72,0.6227,False,False,False,True
91,-1.9969,-2.7563,20.0,33,,31.92,0.6213,False,False,True,False
92,-12.2013,-4.1913,20.0,150,,32.76,0.6154,False,False,False,True
93,-10.8952,-5.2586,20.0,150,,33.61,0.6095,False,False,False,True
94,-12.1821,-7.4862,10.0,150,,34.45,0.6035,False,False,False,True
95,-13.3368,-9.5666,0.0,150,,35.3,0.5976,False,False,False,True
96,-12.2909,-9.8042,0.0,150,,36.15,0.5917,False,False,False,True
97,-10.8909,-9.6584,0.0,150,,36.99,0.5857,False,False,False,True
98,-2.5939,-9.6681,0.0,35,,37.2,0.5843,False,False,True,False
99,-9.4738,-9.7272,0.0,117,,37.86,0.5797,False,False,True,False
