# run_name: boltzmann_run1_400
# timestamp: 20260809_235745
# ---- config ----
# goal_position: (20, 0, -3)
# start_position: (0, 0, -3)
# max_episode_steps: 150
# dt: 0.5
# speed: 2.0
# state_dim: 20
# action_dim: 27
# lr: 0.0001
# gamma: 0.99
# buffer_capacity: 1000000
# batch_size: 32
# epsilon_start: 1.0
# epsilon_end: 0.2
# epsilon_decay_steps: 24000
# target_update_freq: 250
# use_double: True
# use_dueling: True
# ----------------
episode,reward,avg10,success_rate10,steps,epsilon,elapsed_min,is_success,is_crash,is_out_of_bounds,is_timeout
1,-18.6859,-18.6859,0.0,150,0.996,1.71,False,False,False,True
2,-19.1745,-18.9302,0.0,150,0.991,3.43,False,False,False,True
3,-5.66,-14.5068,0.0,150,0.986,5.15,False,False,False,True
4,1.1771,-10.5858,0.0,150,0.981,6.86,False,False,False,True
5,-0.2946,-8.5276,0.0,150,0.976,8.57,False,False,False,True
6,-3.8252,-7.7439,0.0,150,0.971,10.29,False,False,False,True
7,-2.3389,-6.9717,0.0,119,0.9671,11.66,False,False,True,False
8,0.0845,-6.0897,0.0,150,0.9621,13.38,False,False,False,True
9,-0.5631,-5.4756,0.0,150,0.9571,15.09,False,False,False,True
10,-1.4124,-5.0693,0.0,150,0.9521,16.81,False,False,False,True
11,4.6002,-2.7407,0.0,150,0.9471,18.53,False,False,False,True
12,2.2684,-0.5964,0.0,150,0.9421,20.25,False,False,False,True
13,5.7769,0.5473,0.0,23,0.9413,20.55,False,False,True,False
14,1.3918,0.5688,0.0,150,0.9363,22.26,False,False,False,True
15,-0.2382,0.5744,0.0,150,0.9313,23.98,False,False,False,True
16,1.508,1.1077,0.0,150,0.9263,25.7,False,False,False,True
17,11.2672,2.4683,10.0,88,0.9234,26.72,True,False,False,False
18,12.317,3.6916,20.0,76,0.9208,27.61,True,False,False,False
19,13.3185,5.0797,30.0,61,0.9188,28.34,True,False,False,False
20,2.0671,5.4277,30.0,150,0.9138,30.05,False,False,False,True
21,-1.9306,4.7746,30.0,150,0.9088,31.77,False,False,False,True
22,1.3578,4.6836,30.0,9,0.9085,31.91,False,False,True,False
23,1.9725,4.3031,30.0,150,0.9035,33.63,False,False,False,True
24,8.3004,4.994,40.0,120,0.8995,35.01,True,False,False,False
25,2.243,5.2421,40.0,150,0.8945,36.73,False,False,False,True
26,8.0982,5.9011,50.0,128,0.8902,38.2,True,False,False,False
27,1.2407,4.8985,40.0,150,0.8852,39.91,False,False,False,True
28,8.5129,4.518,40.0,119,0.8813,41.28,True,False,False,False
29,5.3973,3.7259,30.0,150,0.8763,43.0,False,False,False,True
30,1.838,3.703,30.0,150,0.8713,44.72,False,False,False,True
31,5.1917,4.4152,30.0,150,0.8663,46.43,False,False,False,True
32,11.2515,5.4046,40.0,84,0.8635,47.41,True,False,False,False
33,14.6414,6.6715,50.0,48,0.8619,47.99,True,False,False,False
34,6.0918,6.4506,50.0,146,0.857,49.66,True,False,False,False
35,0.6076,6.2871,50.0,150,0.852,51.38,False,False,False,True
36,3.399,5.8172,40.0,150,0.847,53.1,False,False,False,True
37,12.752,6.9683,50.0,70,0.8447,53.92,True,False,False,False
38,11.5838,7.2754,50.0,81,0.842,54.87,True,False,False,False
39,4.3396,7.1697,50.0,150,0.837,56.58,False,False,False,True
40,1.5145,7.1373,50.0,150,0.832,58.3,False,False,False,True
41,2.3922,6.8574,50.0,150,0.827,60.01,False,False,False,True
42,3.2387,6.0561,40.0,150,0.822,61.73,False,False,False,True
43,11.3489,5.7268,40.0,82,0.8192,62.68,True,False,False,False
44,10.0236,6.12,40.0,102,0.8158,63.86,True,False,False,False
45,3.7242,6.4317,40.0,150,0.8108,65.58,False,False,False,True
46,-0.2359,6.0682,40.0,150,0.8058,67.29,False,False,False,True
47,2.3215,5.0251,30.0,150,0.8008,69.01,False,False,False,True
48,12.6029,5.127,30.0,78,0.7982,69.92,True,False,False,False
49,0.5657,4.7496,30.0,17,0.7977,70.16,False,False,True,False
50,-1.3201,4.4662,30.0,11,0.7973,70.32,False,False,True,False
51,3.0163,4.5286,30.0,150,0.7923,72.04,False,False,False,True
52,-3.9195,3.8128,30.0,150,0.7873,73.75,False,False,False,True
53,0.8732,2.7652,20.0,150,0.7823,75.47,False,False,False,True
54,0.7114,1.834,10.0,150,0.7773,77.18,False,False,False,True
55,0.9221,1.5538,10.0,150,0.7723,78.89,False,False,False,True
56,1.4099,1.7183,10.0,150,0.7673,80.61,False,False,False,True
57,14.6599,2.9522,20.0,47,0.7657,81.18,True,False,False,False
58,2.9718,1.9891,10.0,150,0.7607,82.89,False,False,False,True
59,13.1355,3.246,20.0,68,0.7585,83.69,True,False,False,False
60,4.5709,3.8351,20.0,133,0.754,85.22,False,False,True,False
61,-4.0192,3.1316,20.0,17,0.7535,85.45,False,False,True,False
62,10.0069,4.5242,30.0,112,0.7497,86.74,True,False,False,False
63,1.8649,4.6234,30.0,150,0.7447,88.46,False,False,False,True
64,-3.1525,4.237,30.0,150,0.7397,90.17,False,False,False,True
65,2.6592,4.4107,30.0,42,0.7383,90.68,False,False,True,False
66,3.9415,4.6639,30.0,150,0.7333,92.4,False,False,False,True
67,-4.9088,2.707,20.0,150,0.7283,94.11,False,False,False,True
68,2.3809,2.6479,20.0,20,0.7277,94.38,False,False,True,False
69,-8.0203,0.5324,10.0,150,0.7227,96.1,False,False,False,True
70,-2.0613,-0.1309,10.0,150,0.7177,97.81,False,False,False,True
71,0.2274,0.2938,10.0,150,0.7127,99.52,False,False,False,True
72,-3.7612,-1.083,0.0,150,0.7077,101.24,False,False,False,True
73,-3.0691,-1.5764,0.0,150,0.7027,102.95,False,False,False,True
74,-2.9251,-1.5537,0.0,150,0.6977,104.67,False,False,False,True
75,-4.8595,-2.3056,0.0,150,0.6927,106.38,False,False,False,True
76,1.879,-2.5118,0.0,150,0.6877,108.1,False,False,False,True
77,-2.9999,-2.3209,0.0,150,0.6827,109.81,False,False,False,True
78,2.8189,-2.2771,0.0,37,0.6814,110.27,False,False,True,False
79,-0.9246,-1.5675,0.0,150,0.6764,111.98,False,False,False,True
80,-0.9188,-1.4533,0.0,150,0.6714,113.7,False,False,False,True
81,-1.3572,-1.6117,0.0,150,0.6664,115.41,False,False,False,True
82,-4.6939,-1.705,0.0,150,0.6614,117.13,False,False,False,True
83,-0.0009,-1.3982,0.0,150,0.6564,118.84,False,False,False,True
84,3.4146,-0.7642,0.0,150,0.6514,120.56,False,False,False,True
85,1.5116,-0.1271,0.0,150,0.6464,122.27,False,False,False,True
86,-3.3976,-0.6548,0.0,41,0.6451,122.77,False,False,True,False
87,-8.8007,-1.2348,0.0,150,0.6401,124.49,False,False,False,True
88,-8.2155,-2.3383,0.0,150,0.6351,126.2,False,False,False,True
89,-7.2487,-2.9707,0.0,150,0.6301,127.92,False,False,False,True
90,-3.2795,-3.2068,0.0,150,0.6251,129.63,False,False,False,True
91,-4.7164,-3.5427,0.0,150,0.6201,131.35,False,False,False,True
92,-10.5952,-4.1328,0.0,150,0.6151,133.06,False,False,False,True
93,-1.3104,-4.2638,0.0,19,0.6144,133.32,False,False,True,False
94,-10.909,-5.6961,0.0,150,0.6094,135.03,False,False,False,True
95,-7.1626,-6.5636,0.0,150,0.6044,136.75,False,False,False,True
96,2.4604,-5.9778,0.0,17,0.6039,136.98,False,False,True,False
97,-16.1661,-6.7143,0.0,150,0.5989,138.69,False,False,False,True
98,-7.1943,-6.6122,0.0,150,0.5939,140.41,False,False,False,True
