# run_name: d3qn_random_start_goal_50
# timestamp: 20260810_213319
# ---- config ----
# goal_position: (20, 0, -3)
# start_position: (0, 0, -3)
# max_episode_steps: 150
# dt: 0.5
# speed: 2.0
# state_dim: 20
# action_dim: 27
# lr: 0.0001
# gamma: 0.99
# buffer_capacity: 1000000
# batch_size: 32
# epsilon_start: 1.0
# epsilon_end: 0.2
# epsilon_decay_steps: 24000
# target_update_freq: 250
# use_double: True
# use_dueling: True
# ----------------
episode,reward,avg10,success_rate10,steps,epsilon,elapsed_min,is_success,is_crash,is_out_of_bounds,is_timeout
1,-13.6611,-13.6611,0.0,150,0.996,0.44,False,False,False,True
2,-27.1798,-20.4204,0.0,150,0.991,0.88,False,False,False,True
3,-4.4168,-15.0859,0.0,65,0.9889,1.07,False,False,True,False
4,-6.7532,-13.0027,0.0,40,0.9875,1.2,False,False,True,False
5,-10.8641,-12.575,0.0,150,0.9825,1.64,False,False,False,True
6,-15.4319,-13.0511,0.0,150,0.9775,2.07,False,False,False,True
7,-7.4343,-12.2487,0.0,150,0.9725,2.7,False,False,False,True
8,-21.0599,-13.3501,0.0,150,0.9675,3.54,False,False,False,True
9,-16.7477,-13.7276,0.0,150,0.9625,4.39,False,False,False,True
10,-14.9464,-13.8495,0.0,150,0.9575,5.24,False,False,False,True
11,-22.1016,-14.6936,0.0,150,0.9525,6.08,False,False,False,True
12,-13.1823,-13.2938,0.0,150,0.9475,6.93,False,False,False,True
13,-15.5749,-14.4096,0.0,150,0.9425,7.77,False,False,False,True
14,-15.9689,-15.3312,0.0,150,0.9375,8.62,False,False,False,True
15,-1.3744,-14.3822,0.0,11,0.9372,8.69,False,False,True,False
16,-15.8415,-14.4232,0.0,150,0.9322,9.54,False,False,False,True
17,-12.9478,-14.9745,0.0,150,0.9272,10.07,False,False,False,True
18,-11.4528,-14.0138,0.0,150,0.9222,10.51,False,False,False,True
19,-7.076,-13.0467,0.0,150,0.9172,10.95,False,False,False,True
20,-2.3991,-11.7919,0.0,14,0.9167,11.0,False,False,True,False
21,-24.2527,-12.007,0.0,150,0.9117,11.44,False,False,False,True
22,-10.853,-11.7741,0.0,150,0.9067,11.88,False,False,False,True
23,-6.1253,-10.8291,0.0,150,0.9017,12.32,False,False,False,True
24,-4.4151,-9.6738,0.0,150,0.8967,12.76,False,False,False,True
25,-0.3158,-9.5679,0.0,111,0.893,13.09,False,False,True,False
26,-12.4287,-9.2266,0.0,150,0.888,13.53,False,False,False,True
27,-0.301,-7.9619,0.0,150,0.883,13.97,False,False,False,True
28,-3.1891,-7.1356,0.0,150,0.878,14.41,False,False,False,True
29,-7.0348,-7.1315,0.0,150,0.873,14.85,False,False,False,True
30,-11.2546,-8.017,0.0,150,0.868,15.29,False,False,False,True
31,0.6638,-5.5253,0.0,150,0.863,15.73,False,False,False,True
32,1.7338,-4.2667,0.0,150,0.858,16.17,False,False,False,True
33,-5.1127,-4.1654,0.0,150,0.853,16.62,False,False,False,True
34,4.0204,-3.3219,0.0,150,0.848,17.06,False,False,False,True
35,4.8698,-2.8033,0.0,150,0.843,17.5,False,False,False,True
36,-3.0065,-1.8611,0.0,150,0.838,17.94,False,False,False,True
37,-2.0387,-2.0348,0.0,150,0.833,18.38,False,False,False,True
38,-10.0201,-2.718,0.0,150,0.828,18.82,False,False,False,True
39,-0.9105,-2.1055,0.0,150,0.823,19.26,False,False,False,True
40,-5.807,-1.5608,0.0,150,0.818,19.7,False,False,False,True
41,-8.6134,-2.4885,0.0,150,0.813,20.15,False,False,False,True
42,-7.5977,-3.4216,0.0,150,0.808,20.63,False,False,False,True
43,-16.4851,-4.5589,0.0,150,0.803,21.47,False,False,False,True
44,-12.1865,-6.1796,0.0,150,0.798,22.32,False,False,False,True
45,-6.01,-7.2676,0.0,69,0.7957,22.72,False,False,True,False
46,-13.3897,-8.3059,0.0,150,0.7907,23.56,False,False,False,True
47,-11.8652,-9.2885,0.0,150,0.7857,24.41,False,False,False,True
48,-12.417,-9.5282,0.0,150,0.7807,25.25,False,False,False,True
49,-11.8203,-10.6192,0.0,150,0.7757,26.1,False,False,False,True
50,-11.8465,-11.2232,0.0,150,0.7707,26.95,False,False,False,True
# [22:00:19] Training complete. 50 episodes in 26.9 min. Final avg reward (last 10): -11.22. Final success rate (last 10): 0.0%.
