# run_name: d3qn_random_start_goal_nodepth_200
# timestamp: 20260810_221150
# ---- config ----
# goal_position: (20, 0, -3)
# start_position: (0, 0, -3)
# max_episode_steps: 150
# dt: 0.5
# speed: 2.0
# state_dim: 15
# action_dim: 27
# lr: 0.0001
# gamma: 0.99
# buffer_capacity: 1000000
# batch_size: 32
# epsilon_start: 1.0
# epsilon_end: 0.2
# epsilon_decay_steps: 24000
# target_update_freq: 250
# use_double: True
# use_dueling: True
# ----------------
episode,reward,avg10,success_rate10,steps,epsilon,elapsed_min,is_success,is_crash,is_out_of_bounds,is_timeout
1,-2.4445,-2.4445,0.0,12,1.0,0.06,False,False,True,False
2,-17.4056,-9.9251,0.0,150,0.9956,0.49,False,False,False,True
3,-0.8255,-6.8919,0.0,12,0.9952,0.53,False,False,True,False
4,-15.3931,-9.0172,0.0,150,0.9902,0.97,False,False,False,True
5,-13.3162,-9.877,0.0,150,0.9852,1.4,False,False,False,True
6,-8.39,-9.6292,0.0,150,0.9802,1.84,False,False,False,True
7,-18.049,-10.832,0.0,150,0.9752,2.27,False,False,False,True
8,-1.9895,-9.7267,0.0,87,0.9723,2.52,False,False,True,False
9,-3.4429,-9.0285,0.0,150,0.9673,2.96,False,False,False,True
10,-23.2661,-10.4523,0.0,150,0.9623,3.39,False,False,False,True
11,0.6205,-10.1458,0.0,12,0.9619,3.43,False,False,True,False
12,-16.7298,-10.0782,0.0,150,0.9569,3.86,False,False,False,True
13,-14.3054,-11.4262,0.0,150,0.9519,4.3,False,False,False,True
14,-22.1704,-12.1039,0.0,150,0.9469,4.73,False,False,False,True
15,-5.473,-11.3196,0.0,52,0.9452,4.89,False,False,True,False
16,-9.2002,-11.4006,0.0,150,0.9402,5.32,False,False,False,True
17,-12.3403,-10.8297,0.0,150,0.9352,5.76,False,False,False,True
18,-13.4438,-11.9751,0.0,150,0.9302,6.19,False,False,False,True
19,-1.1564,-11.7465,0.0,9,0.9299,6.22,False,False,True,False
20,-18.3986,-11.2597,0.0,150,0.9249,6.66,False,False,False,True
21,-12.2055,-12.5423,0.0,150,0.9199,7.09,False,False,False,True
22,-19.3287,-12.8022,0.0,150,0.9149,7.53,False,False,False,True
23,-7.4522,-12.1169,0.0,150,0.9099,7.97,False,False,False,True
24,-10.9325,-10.9931,0.0,150,0.9049,8.4,False,False,False,True
25,-4.9135,-10.9372,0.0,150,0.8999,8.84,False,False,False,True
26,-17.588,-11.776,0.0,150,0.8949,9.27,False,False,False,True
27,-8.2525,-11.3672,0.0,150,0.8899,9.71,False,False,False,True
28,-6.7851,-10.7013,0.0,150,0.8849,10.14,False,False,False,True
29,-8.7737,-11.463,0.0,150,0.8799,10.58,False,False,False,True
30,-8.6154,-10.4847,0.0,150,0.8749,11.01,False,False,False,True
31,0.6024,-9.2039,0.0,150,0.8699,11.45,False,False,False,True
32,0.5985,-7.2112,0.0,150,0.8649,11.89,False,False,False,True
33,1.1344,-6.3525,0.0,150,0.8599,12.32,False,False,False,True
34,-1.0088,-5.3602,0.0,150,0.8549,12.76,False,False,False,True
35,-7.7793,-5.6468,0.0,150,0.8499,13.2,False,False,False,True
36,-0.6132,-3.9493,0.0,150,0.8449,13.64,False,False,False,True
37,3.8967,-2.7344,10.0,146,0.84,14.06,True,False,False,False
38,-5.9966,-2.6555,10.0,150,0.835,14.5,False,False,False,True
39,-6.0472,-2.3828,10.0,150,0.83,14.93,False,False,False,True
40,-4.4846,-1.9698,10.0,150,0.825,15.37,False,False,False,True
41,-1.4634,-2.1763,10.0,150,0.82,15.81,False,False,False,True
42,1.6782,-2.0684,10.0,150,0.815,16.25,False,False,False,True
43,4.6224,-1.7196,20.0,145,0.8102,16.67,True,False,False,False
44,10.7681,-0.5419,30.0,96,0.807,16.95,True,False,False,False
45,-2.3233,0.0037,30.0,150,0.802,17.39,False,False,False,True
46,-4.2909,-0.3641,30.0,141,0.7973,17.8,False,False,True,False
47,7.6728,0.0136,30.0,109,0.7937,18.12,True,False,False,False
48,3.6781,0.981,30.0,150,0.7887,18.56,False,False,False,True
49,-7.6859,0.8171,30.0,150,0.7837,19.0,False,False,False,True
50,3.9094,1.6565,30.0,150,0.7787,19.44,False,False,False,True
51,-6.541,1.1488,30.0,150,0.7737,19.87,False,False,False,True
52,-1.0127,0.8797,30.0,150,0.7687,20.31,False,False,False,True
53,2.258,0.6433,20.0,150,0.7637,20.75,False,False,False,True
54,2.7238,-0.1612,10.0,150,0.7587,21.19,False,False,False,True
55,8.0541,0.8766,20.0,141,0.754,21.61,True,False,False,False
56,9.7778,2.2834,30.0,117,0.7501,21.96,True,False,False,False
57,4.1369,1.9298,20.0,150,0.7451,22.4,False,False,False,True
58,7.9239,2.3544,30.0,118,0.7411,22.75,True,False,False,False
59,10.5086,4.1739,40.0,118,0.7372,23.09,True,False,False,False
60,9.9733,4.7803,50.0,93,0.7341,23.37,True,False,False,False
61,10.6937,6.5037,60.0,105,0.7306,23.68,True,False,False,False
62,5.4232,7.1473,60.0,150,0.7256,24.12,False,False,False,True
63,4.4164,7.3632,60.0,150,0.7206,24.56,False,False,False,True
64,2.0642,7.2972,60.0,150,0.7156,24.99,False,False,False,True
65,7.0458,7.1964,60.0,142,0.7109,25.41,True,False,False,False
66,7.4187,6.9605,60.0,122,0.7068,25.77,True,False,False,False
67,10.9407,7.6409,70.0,85,0.704,26.02,True,False,False,False
68,7.1821,7.5667,60.0,150,0.699,26.46,False,False,False,True
69,5.9862,7.1144,50.0,150,0.694,26.89,False,False,False,True
70,8.5489,6.972,50.0,108,0.6904,27.21,True,False,False,False
71,-0.27,5.8756,40.0,150,0.6854,27.65,False,False,False,True
72,7.6825,6.1016,50.0,101,0.682,27.95,True,False,False,False
73,11.1829,6.7782,60.0,93,0.6789,28.23,True,False,False,False
74,8.5464,7.4264,70.0,104,0.6754,28.53,True,False,False,False
75,12.1834,7.9402,70.0,92,0.6724,28.81,True,False,False,False
76,3.8449,7.5828,60.0,150,0.6674,29.25,False,False,False,True
77,10.7012,7.5589,60.0,61,0.6653,29.43,True,False,False,False
78,4.5159,7.2922,60.0,150,0.6603,29.87,False,False,False,True
79,8.2137,7.515,70.0,104,0.6569,30.17,True,False,False,False
80,9.9126,7.6514,70.0,86,0.654,30.43,True,False,False,False
81,11.4383,8.8222,80.0,78,0.6514,30.66,True,False,False,False
82,5.8716,8.6411,70.0,150,0.6464,31.09,False,False,False,True
83,7.142,8.237,60.0,150,0.6414,31.53,False,False,False,True
84,3.2765,7.71,50.0,150,0.6364,31.97,False,False,False,True
85,12.2499,7.7167,50.0,82,0.6337,32.21,True,False,False,False
86,7.5918,8.0913,50.0,150,0.6287,32.65,False,False,False,True
87,10.7738,8.0986,50.0,93,0.6256,32.92,True,False,False,False
88,12.7093,8.9179,60.0,108,0.622,33.24,True,False,False,False
89,1.6482,8.2614,50.0,150,0.617,33.68,False,False,False,True
90,12.6432,8.5345,50.0,60,0.615,33.86,True,False,False,False
91,10.3966,8.4303,50.0,69,0.6127,34.06,True,False,False,False
92,2.7092,8.114,50.0,150,0.6077,34.51,False,False,False,True
93,10.6742,8.4673,60.0,125,0.6035,34.87,True,False,False,False
94,5.9263,8.7322,60.0,150,0.5985,35.32,False,False,False,True
95,10.4647,8.5537,60.0,123,0.5944,35.68,True,False,False,False
96,11.0535,8.8999,70.0,100,0.5911,35.97,True,False,False,False
97,10.4885,8.8714,70.0,80,0.5884,36.21,True,False,False,False
98,4.5178,8.0522,60.0,150,0.5834,36.64,False,False,False,True
99,10.94,8.9814,70.0,70,0.5811,36.85,True,False,False,False
100,7.6373,8.4808,60.0,150,0.5761,37.29,False,False,False,True
101,9.4271,8.3839,60.0,104,0.5726,37.6,True,False,False,False
102,5.3025,8.6432,60.0,150,0.5676,38.04,False,False,False,True
103,9.0072,8.4765,60.0,83,0.5648,38.28,True,False,False,False
104,4.2891,8.3128,60.0,150,0.5598,38.72,False,False,False,True
105,8.1982,8.0861,60.0,121,0.5558,39.07,True,False,False,False
106,11.5903,8.1398,60.0,70,0.5535,39.28,True,False,False,False
107,5.7637,7.6673,60.0,147,0.5486,39.71,True,False,False,False
108,11.3971,8.3553,70.0,69,0.5463,39.92,True,False,False,False
109,3.0242,7.5637,60.0,150,0.5413,40.36,False,False,False,True
110,11.914,7.9914,70.0,78,0.5387,40.59,True,False,False,False
111,6.9398,7.7426,60.0,88,0.5357,40.85,False,False,True,False
112,10.618,8.2742,70.0,97,0.5325,41.13,True,False,False,False
113,10.4558,8.419,70.0,75,0.53,41.36,True,False,False,False
114,7.8578,8.7759,70.0,71,0.5276,41.57,False,False,True,False
115,13.3121,9.2873,70.0,79,0.525,41.8,True,False,False,False
116,11.7561,9.3039,70.0,82,0.5223,42.05,True,False,False,False
117,2.9657,9.0241,60.0,150,0.5173,42.48,False,False,False,True
118,14.0334,9.2877,60.0,64,0.5151,42.67,True,False,False,False
119,8.1732,9.8026,60.0,97,0.5119,42.96,False,False,True,False
120,13.6973,9.9809,60.0,73,0.5095,43.18,True,False,False,False
121,13.9825,10.6852,70.0,80,0.5068,43.41,True,False,False,False
